f,n_contexts,N1_types,cont_types,M,S_eff
492,8,711,988,0.18064,123.5
493,3,311,497,0.210277,165.6667
494,13,1855,2575,0.288851,198.0769
495,10,1201,1693,0.242626,169.3
496,4,453,635,0.228327,158.75
497,8,494,801,0.124245,100.125
498,18,1849,2706,0.20627,150.3333
499,10,692,1063,0.138677,106.3
500,10,932,1400,0.1864,140.0
501,6,375,628,0.12475,104.6667
502,11,933,1465,0.168961,133.1818
503,11,1071,1539,0.193566,139.9091
504,6,840,1202,0.277778,200.3333
505,10,1404,2009,0.27802,200.9
506,3,271,418,0.178524,139.3333
507,8,756,1231,0.186391,153.875
508,10,705,1168,0.13878,116.8
509,9,593,887,0.129448,98.5556
510,8,850,1212,0.208333,151.5
511,7,701,1033,0.195974,147.5714
512,10,1536,2226,0.3,222.6
513,8,872,1257,0.212476,157.125
514,4,344,556,0.167315,139.0
515,8,1000,1439,0.242718,179.875
516,14,1813,2601,0.250969,185.7857
517,10,1173,1841,0.226886,184.1
518,8,930,1385,0.224421,173.125
519,9,622,1073,0.133162,119.2222
520,8,867,1366,0.208413,170.75
521,6,902,1305,0.288548,217.5
522,5,474,683,0.181609,136.6
523,3,233,300,0.148502,100.0
524,7,738,1140,0.2012,162.8571
525,11,1710,2521,0.296104,229.1818
526,2,69,124,0.065589,62.0
527,6,778,1168,0.246047,194.6667
528,6,509,777,0.160669,129.5
529,4,447,609,0.211248,152.25
530,8,518,815,0.12217,101.875
531,4,538,798,0.253296,199.5
532,3,471,699,0.295113,233.0
533,13,1154,1773,0.166546,136.3846
534,9,1082,1465,0.225135,162.7778
535,11,1341,1992,0.227867,181.0909
536,7,557,943,0.148454,134.7143
537,6,767,1085,0.238051,180.8333
538,6,756,1100,0.234201,183.3333
539,10,1618,2234,0.300186,223.4
540,8,838,1320,0.193981,165.0
541,9,947,1364,0.194496,151.5556
542,10,844,1262,0.15572,126.2
543,8,972,1422,0.223757,177.75
544,7,524,775,0.137605,110.7143
545,5,433,714,0.158899,142.8
546,9,805,1328,0.163818,147.5556
547,5,497,765,0.181718,153.0
548,6,628,899,0.190998,149.8333
549,2,295,444,0.26867,222.0
550,8,1121,1694,0.254773,211.75
551,6,866,1249,0.261948,208.1667
552,5,607,845,0.219928,169.0
553,8,767,1266,0.173373,158.25
554,10,1017,1548,0.183574,154.8
555,6,611,953,0.183483,158.8333
556,3,230,322,0.13789,107.3333
557,7,721,1213,0.184919,173.2857
558,6,693,1022,0.206989,170.3333
559,5,587,941,0.210018,188.2
560,5,537,797,0.191786,159.4
561,8,1164,1693,0.259358,211.625
562,7,583,963,0.148195,137.5714
563,5,265,437,0.094139,87.4
564,4,313,513,0.138741,128.25
565,3,287,472,0.169322,157.3333
566,4,448,725,0.19788,181.25
567,7,562,870,0.141597,124.2857
568,2,393,557,0.345951,278.5
569,4,390,650,0.171353,162.5
570,5,468,711,0.164211,142.2
571,5,757,1107,0.265149,221.4
572,7,678,1016,0.169331,145.1429
573,4,500,775,0.21815,193.75
574,8,1051,1606,0.228876,200.75
575,7,1143,1689,0.283975,241.2857
576,3,379,602,0.219329,200.6667
577,4,518,812,0.224437,203.0
578,8,1058,1505,0.228806,188.125
579,4,509,758,0.219775,189.5
580,5,540,883,0.186207,176.6
581,7,1074,1562,0.264077,223.1429
582,1,61,98,0.104811,98.0
583,6,754,1146,0.215552,191.0
584,6,769,1200,0.219463,200.0
585,8,835,1344,0.178419,168.0
586,5,550,772,0.187713,154.4
587,4,732,1063,0.311755,265.75
588,8,981,1491,0.208546,186.375
589,2,388,533,0.329372,266.5
